feature,train_mean,current_mean,mean_change_pct,psi,ks_statistic,ks_pvalue,wasserstein_distance,drift_level
merchant_novelty_rate,0.262197,0.36184550000000004,38.005202195295915,0.5648547367215196,0.26000000000000006,1.8819204313595185e-06,0.0996485,High
weekend_dining_frequency,1.51,1.125,-25.496688741721858,0.31444621273115303,0.20000000000000007,0.0005551927328074649,0.45499999999999996,High
qsr_spend_30d,52.65129999999999,55.0014,4.463517519985271,0.08556313053672185,0.07000000000000006,0.6846706791645834,3.4828,Low
competitor_qsr_share_90d,0.372179,0.3937865,5.805674151416389,0.07735793792298397,0.07999999999999996,0.5182193645480672,0.021697500000000005,Low
fuel_spend_30d,55.73350000000001,57.7364,3.59370934895529,0.05221990153550413,0.06,0.8428847956274123,4.1195,Low
qsr_recency_days,22.89,24.185,5.657492354740053,0.04122025866096846,0.08999999999999997,0.37063202558633024,1.395,Low
qsr_txn_count_30d,3.09,3.285,6.310679611650495,0.020400497533144907,0.05500000000000005,0.9063568398670327,0.20500000000000018,Low
grocery_spend_30d,107.1855,99.12259999999998,-7.522379426321682,0.01427108527040237,0.07,0.6846706791645845,8.352400000000003,Low
campaign_exposed,0.335,0.34,1.492537313432837,0.00011181145710261835,0.0050000000000000044,1.0,0.0050000000000000044,Low
